ID	Gene Ontology Molecular Function
104432_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation
104433_at	"0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0015662 // ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016820 // hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances // inferred from electronic annotation /// 0016887 // ATPase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
104434_at	
104435_at	0005021 // vascular endothelial growth factor receptor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation
104436_at	0005125 // cytokine activity // inferred from electronic annotation /// 0005149 // interleukin-1 receptor binding // inferred from electronic annotation /// 0005152 // interleukin-1 receptor antagonist activity // inferred from electronic annotation
104437_at	0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104438_at	0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104439_at	0008080 // N-acetyltransferase activity // inferred from electronic annotation /// 0008415 // acyltransferase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
104440_at	0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003682 // chromatin binding // inferred from direct assay /// 0003723 // RNA binding // inferred from electronic annotation /// 0003729 // mRNA binding // inferred from direct assay /// 0008289 // lipid binding // inferred from direct assay /// 0043021 // ribonucleoprotein binding // inferred from direct assay /// 0045182 // translation regulator activity // inferred from direct assay
104441_at	0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104442_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation
104443_at	0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0016493 // C-C chemokine receptor activity // inferred from mutant phenotype /// 0016493 // C-C chemokine receptor activity // inferred from electronic annotation
104444_at	
104445_at	0004866 // endopeptidase inhibitor activity // inferred from electronic annotation /// 0004867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation
104446_f_at	0005488 // binding // inferred from electronic annotation
104447_r_at	0005488 // binding // inferred from electronic annotation
104448_at	0005319 // lipid transporter activity // inferred from direct assay /// 0005319 // lipid transporter activity // inferred from electronic annotation /// 0008289 // lipid binding // inferred from electronic annotation
104449_at	0003964 // RNA-directed DNA polymerase activity // inferred from electronic annotation /// 0004519 // endonuclease activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0005216 // ion channel activity // inferred from electronic annotation /// 0005230 // extracellular ligand-gated ion channel activity // inferred from electronic annotation /// 0005254 // chloride channel activity // inferred from electronic annotation /// 0005488 // binding // inferred from mutant phenotype /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from electronic annotation /// 0016594 // glycine binding // inferred from mutant phenotype /// 0016594 // glycine binding // inferred from sequence or structural similarity /// 0016594 // glycine binding // inferred from electronic annotation /// 0016933 // extracellular-glycine-gated ion channel activity // inferred from sequence or structural similarity /// 0016934 // extracellular-glycine-gated chloride channel activity // inferred from mutant phenotype /// 0016934 // extracellular-glycine-gated chloride channel activity // inferred from sequence or structural similarity /// 0016934 // extracellular-glycine-gated chloride channel activity // inferred from electronic annotation /// 0030594 // neurotransmitter receptor activity // inferred from electronic annotation /// 0031404 // chloride ion binding // inferred from electronic annotation
104450_at	0003723 // RNA binding // inferred from electronic annotation /// 0003964 // RNA-directed DNA polymerase activity // inferred from electronic annotation /// 0004518 // nuclease activity // inferred from electronic annotation /// 0004519 // endonuclease activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016779 // nucleotidyltransferase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation
104451_at	0005215 // transporter activity // inferred from electronic annotation /// 0005375 // copper ion transmembrane transporter activity // inferred from electronic annotation /// 0005381 // iron ion transmembrane transporter activity // inferred from direct assay /// 0005384 // manganese ion transmembrane transporter activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005507 // copper ion binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0015086 // cadmium ion transmembrane transporter activity // inferred from electronic annotation /// 0015087 // cobalt ion transmembrane transporter activity // inferred from direct assay /// 0015093 // ferrous iron transmembrane transporter activity // inferred from electronic annotation /// 0015094 // lead ion transmembrane transporter activity // inferred from electronic annotation /// 0015099 // nickel ion transmembrane transporter activity // inferred from electronic annotation /// 0016151 // nickel ion binding // inferred from electronic annotation /// 0030145 // manganese ion binding // inferred from electronic annotation /// 0046870 // cadmium ion binding // inferred from electronic annotation /// 0050897 // cobalt ion binding // inferred from electronic annotation
104452_at	0005515 // protein binding // inferred from electronic annotation /// 0017106 // activin inhibitor activity // inferred from direct assay /// 0048185 // activin binding // inferred from direct assay
104453_at	
104454_at	0003677 // DNA binding // inferred from electronic annotation /// 0003697 // single-stranded DNA binding // inferred from electronic annotation /// 0004518 // nuclease activity // inferred from electronic annotation /// 0004519 // endonuclease activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0030983 // mismatched DNA binding // inferred from electronic annotation /// 0032138 // single base insertion or deletion binding // inferred from electronic annotation /// 0032407 // MutSalpha complex binding // inferred from electronic annotation
104455_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0004683 // calmodulin-dependent protein kinase activity // traceable author statement /// 0004683 // calmodulin-dependent protein kinase activity // inferred from electronic annotation /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005516 // calmodulin binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016563 // transcription activator activity // inferred from mutant phenotype /// 0016740 // transferase activity // inferred from electronic annotation
104456_at	0003677 // DNA binding // inferred from electronic annotation
104457_at	
104458_at	0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from direct assay /// 0008013 // beta-catenin binding // inferred from physical interaction
104460_at	0005216 // ion channel activity // inferred from electronic annotation /// 0005245 // voltage-gated calcium channel activity // inferred from direct assay /// 0005245 // voltage-gated calcium channel activity // inferred from electronic annotation
104461_at	"0004428 // inositol or phosphatidylinositol kinase activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0016301 // kinase activity // inferred from electronic annotation /// 0016303 // 1-phosphatidylinositol-3-kinase activity // inferred from direct assay /// 0016303 // 1-phosphatidylinositol-3-kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016773 // phosphotransferase activity, alcohol group as acceptor // inferred from electronic annotation /// 0043560 // insulin receptor substrate binding // inferred from physical interaction /// 0046934 // phosphatidylinositol-4,5-bisphosphate 3-kinase activity // inferred from electronic annotation"
104462_at	0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104463_at	0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from sequence or structural similarity
104464_s_at	0004872 // receptor activity // inferred from electronic annotation /// 0046923 // ER retention sequence binding // inferred from electronic annotation
104466_at	
104467_at	0004180 // carboxypeptidase activity // inferred from electronic annotation /// 0004181 // metallocarboxypeptidase activity // inferred from electronic annotation /// 0004185 // serine-type carboxypeptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008237 // metallopeptidase activity // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104468_at	0005515 // protein binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from sequence or structural similarity
104469_at	0005372 // water transporter activity // inferred from direct assay /// 0008517 // folic acid transporter activity // inferred from direct assay /// 0015171 // amino acid transmembrane transporter activity // inferred from direct assay /// 0015250 // water channel activity // inferred from direct assay
104470_at	0003676 // nucleic acid binding // inferred from electronic annotation
104471_at	0003779 // actin binding // inferred from electronic annotation /// 0004407 // histone deacetylase activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0042826 // histone deacetylase binding // inferred from electronic annotation /// 0042903 // tubulin deacetylase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104473_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation
104474_s_at	0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0004985 // opioid receptor activity // inferred from electronic annotation /// 0015051 // X-opioid receptor activity // inferred from electronic annotation
104475_at	
104476_at	0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation
104477_at	
104479_at	"0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0045028 // purinergic nucleotide receptor activity, G-protein coupled // inferred from electronic annotation"
104480_at	0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation
104481_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0004686 // elongation factor-2 kinase activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0005516 // calmodulin binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
104482_at	0000149 // SNARE binding // inferred from electronic annotation /// 0005484 // SNAP receptor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0048306 // calcium-dependent protein binding // inferred from physical interaction
104483_at	0005198 // structural molecule activity // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104484_at	0008146 // sulfotransferase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0047704 // bile-salt sulfotransferase activity // inferred from electronic annotation
104485_at	
104486_at	0004866 // endopeptidase inhibitor activity // inferred from electronic annotation /// 0004867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0017114 // wide-spectrum protease inhibitor activity // inferred from electronic annotation /// 0030414 // protease inhibitor activity // traceable author statement
104487_at	0003677 // DNA binding // inferred from electronic annotation
104488_at	0005515 // protein binding // inferred from electronic annotation /// 0035091 // phosphoinositide binding // inferred from electronic annotation
104489_at	0003779 // actin binding // inferred from electronic annotation /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005516 // calmodulin binding // inferred from electronic annotation
104491_at	0003677 // DNA binding // inferred from electronic annotation
104492_at	0003677 // DNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0030528 // transcription regulator activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104493_at	0004872 // receptor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0017154 // semaphorin receptor activity // inferred from physical interaction
104494_at	
104495_f_at	0003824 // catalytic activity // inferred from electronic annotation /// 0004252 // serine-type endopeptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008236 // serine-type peptidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation
104496_i_at	0003824 // catalytic activity // inferred from electronic annotation /// 0004252 // serine-type endopeptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008236 // serine-type peptidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation
104497_f_at	0003824 // catalytic activity // inferred from electronic annotation /// 0004252 // serine-type endopeptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008236 // serine-type peptidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation
104498_at	0005515 // protein binding // inferred from physical interaction
104499_at	0005515 // protein binding // inferred from physical interaction
104500_at	"0003824 // catalytic activity // inferred from electronic annotation /// 0003940 // L-iduronidase activity // inferred from electronic annotation /// 0004553 // hydrolase activity, hydrolyzing O-glycosyl compounds // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016798 // hydrolase activity, acting on glycosyl bonds // inferred from electronic annotation /// 0043169 // cation binding // inferred from electronic annotation"
104501_at	0005198 // structural molecule activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0019899 // enzyme binding // inferred from sequence or structural similarity /// 0042803 // protein homodimerization activity // inferred from sequence or structural similarity /// 0046982 // protein heterodimerization activity // inferred from sequence or structural similarity /// 0048487 // beta-tubulin binding // inferred from sequence or structural similarity
104502_f_at	
104503_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0004697 // protein kinase C activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
104504_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0005216 // ion channel activity // inferred from electronic annotation /// 0005244 // voltage-gated ion channel activity // inferred from electronic annotation /// 0005248 // voltage-gated sodium channel activity // non-traceable author statement /// 0005248 // voltage-gated sodium channel activity // inferred from electronic annotation /// 0005272 // sodium channel activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0031402 // sodium ion binding // inferred from electronic annotation
104505_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0005216 // ion channel activity // inferred from electronic annotation /// 0005244 // voltage-gated ion channel activity // inferred from electronic annotation /// 0005248 // voltage-gated sodium channel activity // non-traceable author statement /// 0005248 // voltage-gated sodium channel activity // inferred from electronic annotation /// 0005272 // sodium channel activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0031402 // sodium ion binding // inferred from electronic annotation
104506_at	0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0003707 // steroid hormone receptor activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004879 // ligand-dependent nuclear receptor activity // inferred from electronic annotation /// 0004887 // thyroid hormone receptor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104507_g_at	0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0003707 // steroid hormone receptor activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004879 // ligand-dependent nuclear receptor activity // inferred from electronic annotation /// 0004887 // thyroid hormone receptor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104508_at	
104509_at	0001567 // cholesterol 25-hydroxylase activity // inferred from electronic annotation /// 0004497 // monooxygenase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0008395 // steroid hydroxylase activity // inferred from direct assay /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104510_at	0005216 // ion channel activity // inferred from electronic annotation /// 0005244 // voltage-gated ion channel activity // inferred from electronic annotation /// 0005262 // calcium channel activity // inferred from electronic annotation /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0046872 // metal ion binding // inferred from electronic annotation
104512_at	
104513_at	
104514_at	0008289 // lipid binding // inferred from electronic annotation
104515_at	
104516_at	0005198 // structural molecule activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0042802 // identical protein binding // inferred from sequence or structural similarity
104518_at	0005212 // structural constituent of eye lens // traceable author statement /// 0005212 // structural constituent of eye lens // inferred from electronic annotation /// 0042803 // protein homodimerization activity // inferred from physical interaction
104519_at	0004866 // endopeptidase inhibitor activity // inferred from electronic annotation /// 0004867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation
104522_at	0005085 // guanyl-nucleotide exchange factor activity // inferred from electronic annotation /// 0005089 // Rho guanyl-nucleotide exchange factor activity // inferred from electronic annotation /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation
104523_at	0005515 // protein binding // inferred from electronic annotation
104524_at	0008289 // lipid binding // inferred from sequence or structural similarity /// 0017089 // glycolipid transporter activity // inferred from electronic annotation /// 0017089 // glycolipid transporter activity // inferred from sequence or structural similarity /// 0051861 // glycolipid binding // inferred from electronic annotation /// 0051861 // glycolipid binding // inferred from sequence or structural similarity
104525_at	0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004721 // phosphoprotein phosphatase activity // inferred from direct assay /// 0004721 // phosphoprotein phosphatase activity // inferred from electronic annotation /// 0004722 // protein serine/threonine phosphatase activity // inferred from electronic annotation /// 0008420 // CTD phosphatase activity // inferred from direct assay /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0030145 // manganese ion binding // inferred from direct assay /// 0030145 // manganese ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104526_at	0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from direct assay /// 0030528 // transcription regulator activity // inferred from electronic annotation
104527_at	0000150 // recombinase activity // inferred from sequence or structural similarity /// 0000166 // nucleotide binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003684 // damaged DNA binding // inferred from electronic annotation /// 0003690 // double-stranded DNA binding // inferred from sequence or structural similarity /// 0003697 // single-stranded DNA binding // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // not recorded /// 0005515 // protein binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0005524 // ATP binding // not recorded /// 0005524 // ATP binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from sequence or structural similarity /// 0008094 // DNA-dependent ATPase activity // inferred from electronic annotation /// 0016887 // ATPase activity // inferred from sequence or structural similarity /// 0017111 // nucleoside-triphosphatase activity // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation
104528_at	0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104529_at	0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation
104531_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0004697 // protein kinase C activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0008022 // protein C-terminus binding // inferred from electronic annotation /// 0008047 // enzyme activator activity // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0019899 // enzyme binding // inferred from electronic annotation /// 0019992 // diacylglycerol binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104532_at	0005488 // binding // inferred from electronic annotation
104533_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from direct assay /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from direct assay /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0030145 // manganese ion binding // inferred from direct assay /// 0030145 // manganese ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104534_at	"0000287 // magnesium ion binding // inferred from electronic annotation /// 0004614 // phosphoglucomutase activity // inferred from direct assay /// 0004614 // phosphoglucomutase activity // inferred from mutant phenotype /// 0004614 // phosphoglucomutase activity // inferred from electronic annotation /// 0016853 // isomerase activity // inferred from electronic annotation /// 0016868 // intramolecular transferase activity, phosphotransferases // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
104535_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004222 // metalloendopeptidase activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008237 // metallopeptidase activity // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0017111 // nucleoside-triphosphatase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104536_at	0003690 // double-stranded DNA binding // inferred from direct assay /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0008134 // transcription factor binding // inferred from physical interaction /// 0016563 // transcription activator activity // inferred from direct assay
104537_at	
104538_at	0004497 // monooxygenase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0008116 // prostaglandin-I synthase activity // inferred from electronic annotation /// 0009055 // electron carrier activity // inferred from electronic annotation /// 0016853 // isomerase activity // inferred from electronic annotation /// 0020037 // heme binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104539_at	0004062 // aryl sulfotransferase activity // inferred from direct assay /// 0004062 // aryl sulfotransferase activity // inferred from sequence or structural similarity /// 0008146 // sulfotransferase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
104541_at	0003824 // catalytic activity // inferred from electronic annotation /// 0004252 // serine-type endopeptidase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008236 // serine-type peptidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation
104544_at	0003735 // structural constituent of ribosome // inferred from electronic annotation
104545_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0008013 // beta-catenin binding // inferred from physical interaction /// 0016301 // kinase activity // inferred from direct assay /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0019888 // protein phosphatase regulator activity // inferred from direct assay
104546_g_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0008013 // beta-catenin binding // inferred from physical interaction /// 0016301 // kinase activity // inferred from direct assay /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0019888 // protein phosphatase regulator activity // inferred from direct assay
104547_at	0004146 // dihydrofolate reductase activity // inferred from direct assay /// 0004146 // dihydrofolate reductase activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0050661 // NADP binding // inferred from electronic annotation
104548_at	
104549_at	0003723 // RNA binding // inferred from electronic annotation
104550_at	"0004497 // monooxygenase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0009055 // electron carrier activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016712 // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen // inferred from electronic annotation /// 0020037 // heme binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0050381 // unspecific monooxygenase activity // inferred from electronic annotation"
104551_at	0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0031625 // ubiquitin protein ligase binding // inferred from electronic annotation
104554_at	0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0003707 // steroid hormone receptor activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004879 // ligand-dependent nuclear receptor activity // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104555_at	0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0051373 // FATZ binding // inferred from electronic annotation
104556_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0030145 // manganese ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104557_at	0005543 // phospholipid binding // not recorded /// 0008289 // lipid binding // inferred from electronic annotation
104558_at	0003677 // DNA binding // inferred from electronic annotation
104559_at	
104560_at	0005488 // binding // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation
104561_at	0003677 // DNA binding // inferred from electronic annotation
104562_at	0003676 // nucleic acid binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
104564_at	
104565_at	0005515 // protein binding // inferred from electronic annotation /// 0008565 // protein transporter activity // inferred from electronic annotation
