Probe Set ID	Gene Title	Gene Symbol	UniGene ID	Chromosomal Location
200091_s_at	ribosomal protein S25	RPS25	Hs.512676	chr11q23.3
200092_s_at	ribosomal protein L37	RPL37	Hs.80545	chr5p13
200093_s_at	histidine triad nucleotide binding protein 1	HINT1	Hs.483305	chr5q31.2
200094_s_at	eukaryotic translation elongation factor 2	EEF2	Hs.515070	chr19pter-q12
200095_x_at	ribosomal protein S10	RPS10	Hs.406620	chr6p21.31
200096_s_at	"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1"	ATP6V0E1	Hs.484188	chr5q35.2
200097_s_at	heterogeneous nuclear ribonucleoprotein K	HNRNPK	Hs.522257	chr9q21.32-q21.33
200098_s_at	anaphase promoting complex subunit 5	ANAPC5	Hs.7101	chr12q24.31
200099_s_at	similar to v-fos transformation effector protein /// ribosomal protein S3A	LOC439992 /// RPS3A	Hs.356572	chr10q23.1 /// chr4q31.2-q31.3
200593_s_at	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	HNRNPU	Hs.106212	chr1q44
200594_x_at	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	HNRNPU	Hs.106212	chr1q44
200595_s_at	"eukaryotic translation initiation factor 3, subunit A"	EIF3A	Hs.523299	chr10q26
200596_s_at	"eukaryotic translation initiation factor 3, subunit A"	EIF3A	Hs.523299	chr10q26
200597_at	"eukaryotic translation initiation factor 3, subunit A"	EIF3A	Hs.523299	chr10q26
200598_s_at	"heat shock protein 90kDa beta (Grp94), member 1"	HSP90B1	Hs.192374	chr12q24.2-q24.3
200599_s_at	"heat shock protein 90kDa beta (Grp94), member 1"	HSP90B1	Hs.192374	chr12q24.2-q24.3
200600_at	moesin	MSN	Hs.87752	chrXq11.2-q12
200601_at	"actinin, alpha 4"	ACTN4	Hs.270291	chr19q13
200602_at	amyloid beta (A4) precursor protein	APP	Hs.434980	chr21q21.2|21q21.3
200603_at	"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"	PRKAR1A	Hs.280342	chr17q23-q24
200604_s_at	"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"	PRKAR1A	Hs.280342	chr17q23-q24
200605_s_at	"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"	PRKAR1A	Hs.280342	chr17q23-q24
200606_at	desmoplakin	DSP	Hs.519873	chr6p24
200607_s_at	RAD21 homolog (S. pombe)	RAD21	Hs.81848	chr8q24
200608_s_at	RAD21 homolog (S. pombe)	RAD21	Hs.81848	chr8q24
200609_s_at	WD repeat domain 1	WDR1	Hs.128548	chr4p16.1
200610_s_at	nucleolin	NCL	Hs.79110	chr2q12-qter
200611_s_at	WD repeat domain 1	WDR1	Hs.128548	chr4p16.1
200612_s_at	"adaptor-related protein complex 2, beta 1 subunit"	AP2B1	Hs.514819	chr17q11.2-q12
200613_at	"adaptor-related protein complex 2, mu 1 subunit"	AP2M1	Hs.518460	chr3q28
200614_at	"clathrin, heavy chain (Hc)"	CLTC	Hs.491351	chr17q11-qter
200615_s_at	"adaptor-related protein complex 2, beta 1 subunit"	AP2B1	Hs.514819	chr17q11.2-q12
200616_s_at	KIAA0152	KIAA0152	Hs.714322	chr12q24.31
200617_at	KIAA0152	KIAA0152	Hs.714322	chr12q24.31
200618_at	LIM and SH3 protein 1	LASP1	Hs.548018	chr17q11-q21.3
200619_at	"splicing factor 3b, subunit 2, 145kDa"	SF3B2	Hs.406423	chr11q13.1
200620_at	transmembrane protein 59	TMEM59	Hs.523262	chr1p36-p31
200621_at	cysteine and glycine-rich protein 1	CSRP1	Hs.108080	chr1q32
200622_x_at	"calmodulin 1 (phosphorylase kinase, delta) /// calmodulin 2 (phosphorylase kinase, delta) /// calmodulin 3 (phosphorylase kinase, delta)"	CALM1 /// CALM2 /// CALM3	Hs.643483	chr14q24-q31 /// chr19q13.2-q13.3 /// chr2p21
200623_s_at	"calmodulin 1 (phosphorylase kinase, delta) /// calmodulin 2 (phosphorylase kinase, delta) /// calmodulin 3 (phosphorylase kinase, delta)"	CALM1 /// CALM2 /// CALM3	Hs.643483	chr14q24-q31 /// chr19q13.2-q13.3 /// chr2p21
200624_s_at	matrin 3	MATR3	Hs.268939	chr5q31.2
200625_s_at	"CAP, adenylate cyclase-associated protein 1 (yeast)"	CAP1	Hs.370581	chr1p34.2
200626_s_at	matrin 3	MATR3	Hs.268939	chr5q31.2
200627_at	prostaglandin E synthase 3 (cytosolic)	PTGES3	Hs.50425	chr12q13.3|12
200628_s_at	tryptophanyl-tRNA synthetase	WARS	Hs.497599	chr14q32.31
200629_at	tryptophanyl-tRNA synthetase	WARS	Hs.497599	chr14q32.31
200630_x_at	SET nuclear oncogene	SET	Hs.436687	chr9q34
200631_s_at	SET nuclear oncogene	SET	Hs.436687	chr9q34
200632_s_at	N-myc downstream regulated gene 1	NDRG1	Hs.372914	chr8q24.3
200633_at	ribosomal protein S27a /// ubiquitin B /// ubiquitin C	RPS27A /// UBB /// UBC	Hs.311640	chr12q24.3 /// chr17p12-p11.2 /// chr2p16
200634_at	profilin 1	PFN1	Hs.494691	chr17p13.3
200635_s_at	"protein tyrosine phosphatase, receptor type, F"	PTPRF	Hs.272062	chr1p34
200636_s_at	"protein tyrosine phosphatase, receptor type, F"	PTPRF	Hs.272062	chr1p34
200637_s_at	"protein tyrosine phosphatase, receptor type, F"	PTPRF	Hs.272062	chr1p34
200638_s_at	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"	YWHAZ	Hs.492407	chr8q23.1
200639_s_at	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"	YWHAZ	Hs.492407	chr8q23.1
200640_at	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"	YWHAZ	Hs.492407	chr8q23.1
200641_s_at	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"	YWHAZ	Hs.492407	chr8q23.1
200642_at	"superoxide dismutase 1, soluble"	SOD1	Hs.443914	chr21q22.1|21q22.11
200643_at	high density lipoprotein binding protein	HDLBP	Hs.471851	chr2q37.3
200644_at	MARCKS-like 1	MARCKSL1	Hs.75061	chr1p35.1
200645_at	GABA(A) receptor-associated protein	GABARAP	Hs.647421	chr17p13.1
200646_s_at	nucleobindin 1	NUCB1	Hs.631602	chr19q13.2-q13.4
200647_x_at	"eukaryotic translation initiation factor 3, subunit C /// eukaryotic translation initiation factor 3, subunit C-like"	EIF3C /// EIF3CL	Hs.535464	chr16p11.2
200648_s_at	glutamate-ammonia ligase (glutamine synthetase)	GLUL	Hs.518525	chr1q31
200649_at	nucleobindin 1	NUCB1	Hs.631602	chr19q13.2-q13.4
200650_s_at	lactate dehydrogenase A	LDHA	Hs.2795	chr11p15.4
200651_at	"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1"	GNB2L1	Hs.5662	chr5q35.3
200652_at	"signal sequence receptor, beta (translocon-associated protein beta)"	SSR2	Hs.74564	chr1q21-q23
200653_s_at	"calmodulin 1 (phosphorylase kinase, delta) /// calmodulin 2 (phosphorylase kinase, delta) /// calmodulin 3 (phosphorylase kinase, delta)"	CALM1 /// CALM2 /// CALM3	Hs.643483	chr14q24-q31 /// chr19q13.2-q13.3 /// chr2p21
200654_at	"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide"	P4HB	Hs.464336	chr17q25
200655_s_at	"calmodulin 1 (phosphorylase kinase, delta) /// calmodulin 2 (phosphorylase kinase, delta) /// calmodulin 3 (phosphorylase kinase, delta)"	CALM1 /// CALM2 /// CALM3	Hs.643483	chr14q24-q31 /// chr19q13.2-q13.3 /// chr2p21
200656_s_at	"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide"	P4HB	Hs.464336	chr17q25
200657_at	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"	SLC25A5	Hs.632282	chrXq24-q26
200658_s_at	prohibitin	PHB	Hs.514303	chr17q21
200659_s_at	prohibitin	PHB	Hs.514303	chr17q21
200660_at	S100 calcium binding protein A11	S100A11	Hs.417004	chr1q21
200661_at	cathepsin A	CTSA	Hs.652282	chr20q13.1
200662_s_at	translocase of outer mitochondrial membrane 20 homolog (yeast)	TOMM20	Hs.533192	chr1q42
200663_at	CD63 molecule	CD63	Hs.445570	chr12q12-q13
200664_s_at	"DnaJ (Hsp40) homolog, subfamily B, member 1"	DNAJB1	Hs.515210	chr19p13.2
200665_s_at	"secreted protein, acidic, cysteine-rich (osteonectin)"	SPARC	Hs.111779	chr5q31.3-q32
200666_s_at	"DnaJ (Hsp40) homolog, subfamily B, member 1"	DNAJB1	Hs.515210	chr19p13.2
200667_at	"ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)"	UBE2D3	Hs.518773	chr4q24
200668_s_at	"ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)"	UBE2D3	Hs.518773	chr4q24
200669_s_at	"ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)"	UBE2D3	Hs.518773	chr4q24
200670_at	X-box binding protein 1	XBP1	Hs.437638	chr22q12.1|22q12
200671_s_at	"spectrin, beta, non-erythrocytic 1"	SPTBN1	Hs.503178	chr2p21
200672_x_at	"spectrin, beta, non-erythrocytic 1"	SPTBN1	Hs.503178	chr2p21
200673_at	lysosomal protein transmembrane 4 alpha	LAPTM4A	Hs.467807	chr2p24.1
200674_s_at	ribosomal protein L32	RPL32	Hs.265174	chr3p25-p24
200675_at	CD81 molecule	CD81	Hs.54457	chr11p15.5
200676_s_at	ubiquitin-conjugating enzyme E2L 3	UBE2L3	Hs.108104	chr22q11.21
200677_at	pituitary tumor-transforming 1 interacting protein	PTTG1IP	Hs.474010	chr21q22.3
200678_x_at	granulin	GRN	Hs.514220	chr17q21.32
200679_x_at	high-mobility group box 1	HMGB1	Hs.434102	chr13q12
200680_x_at	high-mobility group box 1	HMGB1	Hs.434102	chr13q12
200681_at	glyoxalase I	GLO1	Hs.268849	chr6p21.3-p21.1
200682_s_at	ubiquitin-conjugating enzyme E2L 3	UBE2L3	Hs.108104	chr22q11.21
200683_s_at	ubiquitin-conjugating enzyme E2L 3	UBE2L3	Hs.108104	chr22q11.21
200684_s_at	ubiquitin-conjugating enzyme E2L 3	UBE2L3	Hs.108104	chr22q11.21
200685_at	"splicing factor, arginine/serine-rich 11"	SFRS11	Hs.479693	chr1p31
200686_s_at	"splicing factor, arginine/serine-rich 11"	SFRS11	Hs.479693	chr1p31
200687_s_at	"splicing factor 3b, subunit 3, 130kDa"	SF3B3	Hs.514435	chr16q22.1
200688_at	"splicing factor 3b, subunit 3, 130kDa"	SF3B3	Hs.514435	chr16q22.1
200689_x_at	eukaryotic translation elongation factor 1 gamma	EEF1G	Hs.144835	chr11q12.3
200690_at	heat shock 70kDa protein 9 (mortalin)	HSPA9	Hs.184233	chr5q31.1
200691_s_at	heat shock 70kDa protein 9 (mortalin)	HSPA9	Hs.184233	chr5q31.1
200692_s_at	heat shock 70kDa protein 9 (mortalin)	HSPA9	Hs.184233	chr5q31.1
200693_at	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide"	YWHAQ	Hs.74405	chr2p25.1
200694_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24	DDX24	Hs.510328	chr14q32
200695_at	"protein phosphatase 2 (formerly 2A), regulatory subunit A , alpha isoform"	PPP2R1A	Hs.467192	chr19q13.33
200696_s_at	"gelsolin (amyloidosis, Finnish type)"	GSN	Hs.522373	chr9q33
200697_at	hexokinase 1	HK1	Hs.657990	chr10q22
200698_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	KDELR2	Hs.654552	chr7p22.1
200699_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	KDELR2	Hs.654552	chr7p22.1
200700_s_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	KDELR2	Hs.654552	chr7p22.1
200701_at	"Niemann-Pick disease, type C2"	NPC2	Hs.433222	chr14q24.3
200702_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24	DDX24	Hs.510328	chr14q32
200703_at	"dynein, light chain, LC8-type 1"	DYNLL1	Hs.5120	chr12q24.23
200704_at	lipopolysaccharide-induced TNF factor	LITAF	Hs.459940	chr16p13.13
200705_s_at	eukaryotic translation elongation factor 1 beta 2	EEF1B2	Hs.421608	chr2q33-q34
200706_s_at	lipopolysaccharide-induced TNF factor	LITAF	Hs.459940	chr16p13.13
200707_at	protein kinase C substrate 80K-H	PRKCSH	Hs.610830	chr19p13.2
200708_at	"glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)"	GOT2	Hs.709186	chr16q21
200709_at	"FK506 binding protein 1A, 12kDa"	FKBP1A	Hs.471933	chr20p13
200710_at	"acyl-Coenzyme A dehydrogenase, very long chain"	ACADVL	Hs.437178	chr17p13-p11
200711_s_at	S-phase kinase-associated protein 1	SKP1	Hs.171626	chr5q31
200712_s_at	"microtubule-associated protein, RP/EB family, member 1"	MAPRE1	Hs.472437	chr20q11.1-q11.23
200713_s_at	"microtubule-associated protein, RP/EB family, member 1"	MAPRE1	Hs.472437	chr20q11.1-q11.23
200714_x_at	amplified in osteosarcoma	OS9	Hs.527861	chr12q13
200715_x_at	ribosomal protein L13a	RPL13A	Hs.523185	chr19q13.3
200716_x_at	ribosomal protein L13a	RPL13A	Hs.523185	chr19q13.3
200717_x_at	ribosomal protein L7	RPL7	Hs.571841	chr8q21.11
200718_s_at	S-phase kinase-associated protein 1	SKP1	Hs.171626	chr5q31
200719_at	S-phase kinase-associated protein 1	SKP1	Hs.171626	chr5q31
200720_s_at	"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"	ACTR1A	Hs.153961	chr10q24.32
200721_s_at	"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"	ACTR1A	Hs.153961	chr10q24.32
200722_s_at	cell cycle associated protein 1	CAPRIN1	Hs.471818	chr11p13
200723_s_at	cell cycle associated protein 1	CAPRIN1	Hs.471818	chr11p13
200724_at	ribosomal protein L10	RPL10	Hs.534404	chrXq28
200725_x_at	ribosomal protein L10	RPL10	Hs.534404	chrXq28
200726_at	"protein phosphatase 1, catalytic subunit, gamma isoform"	PPP1CC	Hs.79081	chr12q24.1-q24.2
200727_s_at	ARP2 actin-related protein 2 homolog (yeast)	ACTR2	Hs.643727	chr2p14
200728_at	ARP2 actin-related protein 2 homolog (yeast)	ACTR2	Hs.643727	chr2p14
200729_s_at	ARP2 actin-related protein 2 homolog (yeast)	ACTR2	Hs.643727	chr2p14
200730_s_at	"protein tyrosine phosphatase type IVA, member 1"	PTP4A1	Hs.227777	chr6q12
200731_s_at	"protein tyrosine phosphatase type IVA, member 1"	PTP4A1	Hs.227777	chr6q12
200732_s_at	"protein tyrosine phosphatase type IVA, member 1"	PTP4A1	Hs.227777	chr6q12
200733_s_at	"protein tyrosine phosphatase type IVA, member 1"	PTP4A1	Hs.227777	chr6q12
200734_s_at	ADP-ribosylation factor 3	ARF3	Hs.119177	chr12q13
200735_x_at	nascent polypeptide-associated complex alpha subunit	NACA	Hs.505735	chr12q23-q24.1
200736_s_at	glutathione peroxidase 1	GPX1	Hs.76686	chr3p21.3
200737_at	phosphoglycerate kinase 1	PGK1	Hs.78771	chrXq13
200738_s_at	phosphoglycerate kinase 1	PGK1	Hs.78771	chrXq13
200739_s_at	SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	SUMO3	Hs.474005	chr21q22.3
200740_s_at	SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	SUMO3	Hs.474005	chr21q22.3
200741_s_at	ribosomal protein S27	RPS27	Hs.546291	chr1q21
200742_s_at	tripeptidyl peptidase I	TPP1	Hs.523454	chr11p15
200743_s_at	tripeptidyl peptidase I	TPP1	Hs.523454	chr11p15
200744_s_at	"guanine nucleotide binding protein (G protein), beta polypeptide 1"	GNB1	Hs.709208	chr1p36.33
200745_s_at	"guanine nucleotide binding protein (G protein), beta polypeptide 1"	GNB1	Hs.709208	chr1p36.33
200746_s_at	"guanine nucleotide binding protein (G protein), beta polypeptide 1"	GNB1	Hs.709208	chr1p36.33
200747_s_at	nuclear mitotic apparatus protein 1	NUMA1	Hs.325978	chr11q13
200748_s_at	"ferritin, heavy polypeptide 1"	FTH1	Hs.524910	chr11q13
200749_at	"RAN, member RAS oncogene family"	RAN	Hs.10842	chr12q24.3
200750_s_at	"RAN, member RAS oncogene family"	RAN	Hs.10842	chr12q24.3
200751_s_at	heterogeneous nuclear ribonucleoprotein C (C1/C2)	HNRNPC	Hs.449114	chr14q11.2
200752_s_at	"calpain 1, (mu/I) large subunit"	CAPN1	Hs.502842	chr11q13
200753_x_at	"splicing factor, arginine/serine-rich 2"	SFRS2	Hs.713672	chr17q25.2
200754_x_at	"splicing factor, arginine/serine-rich 2"	SFRS2	Hs.713672	chr17q25.2
200755_s_at	calumenin	CALU	Hs.702061	chr7q32.1
200756_x_at	calumenin	CALU	Hs.702061	chr7q32.1
200757_s_at	calumenin	CALU	Hs.702061	chr7q32.1
200758_s_at	nuclear factor (erythroid-derived 2)-like 1	NFE2L1	Hs.514284	chr17q21.3
200759_x_at	nuclear factor (erythroid-derived 2)-like 1	NFE2L1	Hs.514284	chr17q21.3
200760_s_at	ADP-ribosylation-like factor 6 interacting protein 5	ARL6IP5	Hs.518060	chr3p14
200761_s_at	ADP-ribosylation-like factor 6 interacting protein 5	ARL6IP5	Hs.518060	chr3p14
200762_at	dihydropyrimidinase-like 2	DPYSL2	Hs.173381	chr8p22-p21
200763_s_at	"ribosomal protein, large, P1"	RPLP1	Hs.356502	chr15q22
200764_s_at	"catenin (cadherin-associated protein), alpha 1, 102kDa"	CTNNA1	Hs.534797	chr5q31
200765_x_at	"catenin (cadherin-associated protein), alpha 1, 102kDa"	CTNNA1	Hs.534797	chr5q31
200766_at	cathepsin D	CTSD	Hs.121575	chr11p15.5
200767_s_at	family with sequence similarity 120A	FAM120A	Hs.372003	chr9q22.31
200768_s_at	"methionine adenosyltransferase II, alpha"	MAT2A	Hs.516157	chr2p11.2
200769_s_at	"methionine adenosyltransferase II, alpha"	MAT2A	Hs.516157	chr2p11.2
200770_s_at	"laminin, gamma 1 (formerly LAMB2)"	LAMC1	Hs.609663	chr1q31
200771_at	"laminin, gamma 1 (formerly LAMB2)"	LAMC1	Hs.609663	chr1q31
200772_x_at	"prothymosin, alpha"	PTMA	Hs.459927	chr2q35-q36
200773_x_at	"prothymosin, alpha"	PTMA	Hs.459927	chr2q35-q36
200774_at	family with sequence similarity 120A	FAM120A	Hs.372003	chr9q22.31
200775_s_at	heterogeneous nuclear ribonucleoprotein K	HNRNPK	Hs.522257	chr9q21.32-q21.33
200776_s_at	basic leucine zipper and W2 domains 1 /// basic leucine zipper and W2 domains 1 like 1	BZW1 /// BZW1L1	Hs.529231	chr2q33 /// chr3q13.31
200777_s_at	basic leucine zipper and W2 domains 1	BZW1	Hs.355983	chr2q33
200778_s_at	septin 2	2-Sep	Hs.335057	chr2q37
200779_at	activating transcription factor 4 (tax-responsive enhancer element B67)	ATF4	Hs.496487	chr22q13.1
200780_x_at	GNAS complex locus	GNAS	Hs.125898	chr20q13.3
200781_s_at	ribosomal protein S15a	RPS15A	Hs.370504	chr16p
200782_at	annexin A5	ANXA5	Hs.480653	chr4q26-q28|4q28-q32
200783_s_at	stathmin 1/oncoprotein 18	STMN1	Hs.209983	chr1p36.1-p35
200784_s_at	similar to low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor) /// low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	LOC100134190 /// LRP1	Hs.162757	chr12q13-q14
200785_s_at	similar to low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor) /// low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	LOC100134190 /// LRP1	Hs.162757	chr12q13-q14
200786_at	"proteasome (prosome, macropain) subunit, beta type, 7"	PSMB7	Hs.213470	chr9q34.11-q34.12
200787_s_at	phosphoprotein enriched in astrocytes 15	PEA15	Hs.517216	chr1q21.1
200788_s_at	phosphoprotein enriched in astrocytes 15	PEA15	Hs.517216	chr1q21.1
200789_at	"enoyl Coenzyme A hydratase 1, peroxisomal"	ECH1	Hs.196176	chr19q13.1
200790_at	ornithine decarboxylase 1	ODC1	Hs.467701	chr2p25
200791_s_at	IQ motif containing GTPase activating protein 1	IQGAP1	Hs.430551	chr15q26.1
200792_at	X-ray repair complementing defective repair in Chinese hamster cells 6	XRCC6	Hs.292493	chr22q13.2-q13.31
200793_s_at	"aconitase 2, mitochondrial"	ACO2	Hs.643610	chr22q11.2-q13.31|22q13.2|22q13.2-q13.31
200794_x_at	DAZ associated protein 2	DAZAP2	Hs.369761	chr12q12
200795_at	SPARC-like 1 (hevin)	SPARCL1	Hs.62886	chr4q22.1
200796_s_at	myeloid cell leukemia sequence 1 (BCL2-related)	MCL1	Hs.713518	chr1q21
200797_s_at	myeloid cell leukemia sequence 1 (BCL2-related)	MCL1	Hs.713518	chr1q21
200798_x_at	myeloid cell leukemia sequence 1 (BCL2-related)	MCL1	Hs.713518	chr1q21
200799_at	heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B	HSPA1A /// HSPA1B	Hs.520028	chr6p21.3
200800_s_at	heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B	HSPA1A /// HSPA1B	Hs.520028	chr6p21.3
200801_x_at	"actin, beta"	ACTB	Hs.520640	chr7p15-p12
200802_at	seryl-tRNA synthetase	SARS	Hs.531176	chr1p13.3-p13.1
200803_s_at	testis enhanced gene transcript	TEGT	Hs.708025	chr12q12-q13
200804_at	testis enhanced gene transcript	TEGT	Hs.708025	chr12q12-q13
200805_at	"lectin, mannose-binding 2"	LMAN2	Hs.75864	chr5q35.3
200806_s_at	heat shock 60kDa protein 1 (chaperonin)	HSPD1	Hs.632539	chr2q33.1
200807_s_at	heat shock 60kDa protein 1 (chaperonin)	HSPD1	Hs.632539	chr2q33.1
200808_s_at	zyxin	ZYX	Hs.490415	chr7q32
200809_x_at	ribosomal protein L12	RPL12	Hs.408054	chr9q34
200810_s_at	cold inducible RNA binding protein	CIRBP	Hs.634522	chr19p13.3
200811_at	cold inducible RNA binding protein	CIRBP	Hs.634522	chr19p13.3
200812_at	"chaperonin containing TCP1, subunit 7 (eta)"	CCT7	Hs.368149	chr2p13.2
200813_s_at	"platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa"	PAFAH1B1	Hs.77318	chr17p13.3
200814_at	"proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)"	PSME1	Hs.75348	chr14q11.2
200815_s_at	"platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa"	PAFAH1B1	Hs.77318	chr17p13.3
200816_s_at	"platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa"	PAFAH1B1	Hs.77318	chr17p13.3
200817_x_at	ribosomal protein S10	RPS10	Hs.406620	chr6p21.31
200818_at	"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit"	ATP5O	Hs.409140	chr21q22.1-q22.2|21q22.11
200819_s_at	ribosomal protein S15	RPS15	Hs.406683	chr19p13.3
200820_at	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 8"	PSMD8	Hs.78466	chr19q13.2
200821_at	lysosomal-associated membrane protein 2	LAMP2	Hs.496684	chrXq24
200822_x_at	triosephosphate isomerase 1	TPI1	Hs.524219	chr12p13
200823_x_at	similar to ribosomal protein L29 /// ribosomal protein L29 /// ribosomal protein L29 pseudogene 4	LOC100131713 /// RPL29 /// RPL29P4	Hs.425125	chr3p21.3-p21.2 /// chr3p22.2 /// chr6q22.2
200824_at	glutathione S-transferase pi 1	GSTP1	Hs.523836	chr11q13
200825_s_at	hypoxia up-regulated 1	HYOU1	Hs.277704	chr11q23.1-q23.3
200826_at	small nuclear ribonucleoprotein D2 polypeptide 16.5kDa	SNRPD2	Hs.515472	chr19q13.2
200827_at	"procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1"	PLOD1	Hs.75093	chr1p36.22
200828_s_at	zinc finger protein 207	ZNF207	Hs.500775	chr17q11.2
200829_x_at	zinc finger protein 207	ZNF207	Hs.500775	chr17q11.2
200830_at	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 2"	PSMD2	Hs.518464	chr3q27.1
200831_s_at	stearoyl-CoA desaturase (delta-9-desaturase)	SCD	Hs.558396	chr10q24.31
200832_s_at	stearoyl-CoA desaturase (delta-9-desaturase)	SCD	Hs.558396	chr10q24.31
200833_s_at	"hCG1757335 /// RAP1B, member of RAS oncogene family"	hCG_1757335 /// RAP1B	Hs.628957	chr12q14 /// chr5q13.3
200834_s_at	ribosomal protein S21	RPS21	Hs.190968	chr20q13.3
200835_s_at	microtubule-associated protein 4	MAP4	Hs.517949	chr3p21
200836_s_at	microtubule-associated protein 4	MAP4	Hs.517949	chr3p21
200837_at	B-cell receptor-associated protein 31	BCAP31	Hs.522817	chrXq28
200838_at	cathepsin B	CTSB	Hs.520898	chr8p22
200839_s_at	cathepsin B	CTSB	Hs.520898	chr8p22
200840_at	lysyl-tRNA synthetase	KARS	Hs.3100	chr16q23-q24
200841_s_at	glutamyl-prolyl-tRNA synthetase	EPRS	Hs.497788	chr1q41-q42
200842_s_at	glutamyl-prolyl-tRNA synthetase	EPRS	Hs.497788	chr1q41-q42
200843_s_at	glutamyl-prolyl-tRNA synthetase	EPRS	Hs.497788	chr1q41-q42
200844_s_at	peroxiredoxin 6	PRDX6	Hs.573688	chr1q25.1
200845_s_at	peroxiredoxin 6	PRDX6	Hs.573688	chr1q25.1
200846_s_at	"protein phosphatase 1, catalytic subunit, alpha isoform"	PPP1CA	Hs.183994	chr11q13
200847_s_at	transmembrane protein 66	TMEM66	Hs.521487	chr8p12
200848_at	S-adenosylhomocysteine hydrolase-like 1	AHCYL1	Hs.705418	chr1p13.2
200849_s_at	S-adenosylhomocysteine hydrolase-like 1	AHCYL1	Hs.705418	chr1p13.2
200850_s_at	S-adenosylhomocysteine hydrolase-like 1	AHCYL1	Hs.705418	chr1p13.2
200851_s_at	KIAA0174	KIAA0174	Hs.232194	chr16q22.3
200852_x_at	"guanine nucleotide binding protein (G protein), beta polypeptide 2"	GNB2	Hs.185172	chr7q21.3-q22.1|7q22
200853_at	"H2A histone family, member Z"	H2AFZ	Hs.119192	chr4q24
200854_at	nuclear receptor co-repressor 1	NCOR1	Hs.462323	chr17p11.2
200855_at	chromosome 20 open reading frame 191 /// similar to nuclear receptor co-repressor 1 /// nuclear receptor co-repressor 1	C20orf191 /// LOC100133918 /// NCOR1	Hs.462323	chr17p11.2 /// chr20p11.1
200856_x_at	chromosome 20 open reading frame 191 /// similar to nuclear receptor co-repressor 1 /// nuclear receptor co-repressor 1	C20orf191 /// LOC100133918 /// NCOR1	Hs.462323	chr17p11.2 /// chr20p11.1
200857_s_at	nuclear receptor co-repressor 1	NCOR1	Hs.462323	chr17p11.2
200858_s_at	ribosomal protein S8	RPS8	Hs.512675	chr1p34.1-p32
200859_x_at	"filamin A, alpha (actin binding protein 280)"	FLNA	Hs.195464	chrXq28
200860_s_at	"CCR4-NOT transcription complex, subunit 1"	CNOT1	Hs.460923	chr16q21
200861_at	"CCR4-NOT transcription complex, subunit 1"	CNOT1	Hs.460923	chr16q21
200862_at	24-dehydrocholesterol reductase	DHCR24	Hs.498727	chr1p33-p31.1
