ID	Gene Symbol	Gene Title
103213_at	Cdh15 /// LOC672914	cadherin 15 /// similar to Muscle-cadherin precursor (M-cadherin) (Cadherin-15) (Cadherin-14)
103214_at	Hspb2	heat shock protein 2
103215_g_at	Hspb2	heat shock protein 2
103216_f_at	Ikbkg	inhibitor of kappaB kinase gamma
103217_at	Cflar	CASP8 and FADD-like apoptosis regulator
103218_at	Slc10a3	"solute carrier family 10 (sodium/bile acid cotransporter family), member 3"
103219_at	Acpp	"acid phosphatase, prostate"
103220_at	Ndnl2	necdin-like 2
103221_at	Saal1	serum amyloid A-like 1
103222_at	Eps8	epidermal growth factor receptor pathway substrate 8
103223_at	Prkce	"protein kinase C, epsilon"
103224_at	Rab33a	"RAB33A, member of RAS oncogene family"
103225_at	Dnase1l1	deoxyribonuclease 1-like 1
103226_at	Mrc1	"mannose receptor, C type 1"
103227_at	Ugt2b34	"UDP glucuronosyltransferase 2 family, polypeptide B34"
103228_at	Mtmr7	myotubularin related protein 7
103229_at	Ncoa1	nuclear receptor coactivator 1
103231_at	Rhoh	"ras homolog gene family, member H"
103232_at	Mtap1s	microtubule-associated protein 1S
103233_at	Hipk3	homeodomain interacting protein kinase 3
103234_at	Nefh	"neurofilament, heavy polypeptide"
103235_at	Npy	neuropeptide Y
103236_at	Ring1	ring finger protein 1
103237_at	Mxd3	Max dimerization protein 3
103238_at	Wnt4	wingless-related MMTV integration site 4
103239_at	Cdx2	caudal type homeo box 2
103240_f_at	Ear2	"eosinophil-associated, ribonuclease A family, member 2"
103241_at	Adcy2	adenylate cyclase 2
103242_at	Ap1g1	"adaptor protein complex AP-1, gamma 1 subunit"
103243_at	Emp2	epithelial membrane protein 2
103244_at	Clec11a	"C-type lectin domain family 11, member a"
103245_at	Cst8	cystatin 8 (cystatin-related epididymal spermatogenic)
103247_at	Mpp3	"membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)"
103248_at	Fkbp1b	FK506 binding protein 1b
103249_at	Chrd	chordin
103250_at	Dfna5h	"deafness, autosomal dominant 5 homolog (human)"
103251_at	Cdadc1	cytidine and dCMP deaminase domain containing 1
103252_at	Gpr37	G protein-coupled receptor 37
103253_at	Lin7b	lin-7 homolog B (C. elegans)
103254_at	Trafd1	TRAF type zinc finger domain containing 1
103255_at	Traf5	Tnf receptor-associated factor 5
103256_at	Ms4a4d	"membrane-spanning 4-domains, subfamily A, member 4D"
103257_at	Tmem56	transmembrane protein 56
103258_at	Ly75	lymphocyte antigen 75
103259_at	Gfi1	growth factor independent 1
103260_at	Dock5	dedicator of cytokinesis 5
103261_at	Gspt2	G1 to S phase transition 2
103262_at	Hipk1	homeodomain interacting protein kinase 1
103263_at	Epc1	enhancer of polycomb homolog 1 (Drosophila)
103264_at	Mtmr1	myotubularin related protein 1
103265_r_at	Epb4.1l1	erythrocyte protein band 4.1-like 1
103266_at	Ltb4r1	leukotriene B4 receptor 1
103267_i_at	3110053B16Rik	RIKEN cDNA 3110053B16 gene
103268_r_at	3110053B16Rik	RIKEN cDNA 3110053B16 gene
103269_f_at	Zfp125	zinc finger protein 125
103270_at	Gtse1	G two S phase expressed protein 1
103271_at	Lrp6	low density lipoprotein receptor-related protein 6
103272_at	Capn3	calpain 3
103273_s_at	Abcc8	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
103274_at	Abcc8	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
103275_at	Atp6v0a1	"ATPase, H+ transporting, lysosomal V0 subunit A1"
103276_at	Large	like-glycosyltransferase
103277_s_at	Med12	"mediator of RNA polymerase II transcription, subunit 12 homolog (yeast)"
103278_at	Padi4	"peptidyl arginine deiminase, type IV"
103279_at	Sh2d1a	SH2 domain protein 1A
103281_at	Cd2ap	CD2-associated protein
103282_at	Rasgrp2	"RAS, guanyl releasing protein 2"
103283_at	Elf5	E74-like factor 5
103284_at	Cyp8b1	"cytochrome P450, family 8, subfamily b, polypeptide 1"
103285_at	Mbd4	methyl-CpG binding domain protein 4
103286_at	Stam2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2
103288_at	Nrip1	nuclear receptor interacting protein 1
103289_at	Corin	corin
103291_at	Magea2	"melanoma antigen, family A, 2"
103292_at	Stc1	stanniocalcin 1
103293_at	Gosr1	golgi SNAP receptor complex member 1
103294_at	Rgs5	regulator of G-protein signaling 5
103295_at	Mia3	melanoma inhibitory activity 3
103296_at	Cst9	cystatin 9
103297_at	Pfkfb1	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1"
103298_at	Speg	SPEG complex locus
103299_at	Pld4	"phospholipase D family, member 4"
103300_at	Abcb7	"ATP-binding cassette, sub-family B (MDR/TAP), member 7"
103301_i_at	LOC631901	similar to SRY (sex determining region Y)-box 3
103302_r_at	LOC631901	similar to SRY (sex determining region Y)-box 3
103303_at		
103305_at	Itgb4	integrin beta 4
103306_at	Serpinb6c	"serine (or cysteine) peptidase inhibitor, clade B, member 6c"
103308_at	C79407	expressed sequence C79407
103309_at	Frap1	FK506 binding protein 12-rapamycin associated protein 1
103310_at	Jarid1b	"jumonji, AT rich interactive domain 1B (Rbp2 like)"
103311_at	Osbpl5	oxysterol binding protein-like 5
103312_f_at	Esf1	"ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)"
103313_r_at	Esf1	"ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)"
103314_at	Parp8	"poly (ADP-ribose) polymerase family, member 8"
103315_at	Tnrc6a	trinucleotide repeat containing 6a
103316_at	Camsap1	calmodulin regulated spectrin-associated protein 1
103317_at	Coch	coagulation factor C homolog (Limulus polyphemus)
103318_at	Gabpb1	"GA repeat binding protein, beta 1"
103319_at	Psmd10	"proteosome (prosome, macropain) 26S subunit, non-ATPase, 10"
103321_at	Mobkl1a	"MOB1, Mps One Binder kinase activator-like 1A (yeast)"
103322_at	Rpia	ribose 5-phosphate isomerase A
103326_at	Tbcel	tubulin folding cofactor E-like
103327_at	Prrx2	paired related homeobox 2
103328_at	Tank	TRAF family member-associated Nf-kappa B activator
103329_at	Strbp	spermatid perinuclear RNA binding protein
103330_at	Strbp	spermatid perinuclear RNA binding protein
103331_at	C030006K11Rik	RIKEN cDNA C030006K11 gene
103332_at	Gpr125	G protein-coupled receptor 125
103333_at	G6pc	"glucose-6-phosphatase, catalytic"
103334_at	Crcp	calcitonin gene-related peptide-receptor component protein
103335_at	Lgals9	"lectin, galactose binding, soluble 9"
103336_r_at	Bpnt1	bisphosphate 3'-nucleotidase 1
103338_at	Parp6	"poly (ADP-ribose) polymerase family, member 6"
103340_at	Rhd	"Rh blood group, D antigen"
103341_at	Ctps	cytidine 5'-triphosphate synthase
103342_at	Eed	embryonic ectoderm development
103343_at	5430432M24Rik	RIKEN cDNA 5430432M24 gene
103344_at	Dnajc1	"DnaJ (Hsp40) homolog, subfamily C, member 1"
103345_at	Spna2	spectrin alpha 2
103346_at	Clk2	CDC-like kinase 2
103347_at	Cramp1l	"Crm, cramped-like (Drosophila)"
103348_at	Osbp	oxysterol binding protein
103349_at	LOC676654 /// Lyn	Yamaguchi sarcoma viral (v-yes-1) oncogene homolog /// similar to Yamaguchi sarcoma viral (v-yes-1) oncogene homolog
103350_at	Psmd7	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 7"
103352_at	Dpagt1	dolichyl-phosphate (UDP-N-acetylglucosamine) acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)
103353_f_at	Cyp4b1	"cytochrome P450, family 4, subfamily b, polypeptide 1"
103354_at	Mrps31	mitochondrial ribosomal protein S31
103355_at	2010001M06Rik	RIKEN cDNA 2010001M06 gene
103356_at	Dock7	dedicator of cytokinesis 7
103357_at	Slc2a2	"solute carrier family 2 (facilitated glucose transporter), member 2"
103359_at	Mettl8	methyltransferase like 8
103360_at	Tssk1	testis-specific serine kinase 1
103361_at	Ccdc90a	coiled-coil domain containing 90A
103362_at	Ptger4	prostaglandin E receptor 4 (subtype EP4)
103363_at	Tbn	taube nuss
103364_f_at	5730494M16Rik	RIKEN cDNA 5730494M16 gene
103365_s_at	Arhgap9	Rho GTPase activating protein 9
103366_at	Arhgap9	Rho GTPase activating protein 9
103367_at	B4galnt1	"beta-1,4-N-acetyl-galactosaminyl transferase 1"
103369_at	9430029L20Rik	RIKEN cDNA 9430029L20 gene
103370_at	Lin7c	lin-7 homolog C (C. elegans)
103371_at	Slc39a7	"solute carrier family 39 (zinc transporter), member 7"
103372_at		
103374_at	Zcchc3	"zinc finger, CCHC domain containing 3"
103375_at	Zcchc3	"zinc finger, CCHC domain containing 3"
103376_s_at	Pitpnm1	phosphatidylinositol membrane-associated 1
103377_at	Lrp2	low density lipoprotein receptor-related protein 2
103378_at	Prl4a1	"prolactin family 4, subfamily a, member 1"
103379_at	Fbxo3	F-box protein 3
103381_at	Sec31a	SEC31 homolog A (S. cerevisiae)
103384_at	Rgs10	Regulator of G-protein signalling 10
103385_at	Tera	"teratocarcinoma expressed, serine rich"
103386_at	Acot8	acyl-CoA thioesterase 8
103387_at	Phf1	PHD finger protein 1
103388_at	P42pop	Myb protein P42POP
103389_at	Aass	aminoadipate-semialdehyde synthase
103391_at	Ccbl2	cysteine conjugate-beta lyase 2
103392_at	Adcy7	adenylate cyclase 7
103393_at	Pspc1	paraspeckle protein 1
103394_at	Fxyd5	FXYD domain-containing ion transport regulator 5
103395_at	Sgca	"sarcoglycan, alpha (dystrophin-associated glycoprotein)"
103397_at	Hrb	HIV-1 Rev binding protein
103398_at	Pxn	paxillin
103399_at	Scmh1	sex comb on midleg homolog 1
103400_at	Tug1	taurine upregulated gene 1
103401_at	Acads	"acyl-Coenzyme A dehydrogenase, short chain"
103402_at	Tm7sf3	transmembrane 7 superfamily member 3
103403_at	2310007H09Rik	RIKEN cDNA 2310007H09 gene
103404_at	Rere	arginine glutamic acid dipeptide (RE) repeats
103405_at	2610019A05Rik	RIKEN cDNA 2610019A05 gene
103406_at	Xab1	XPA binding protein 1
103407_at	1300017J02Rik	RIKEN cDNA 1300017J02 gene
103408_at	Prkd2	protein kinase D2
103409_at	Baiap2l1	BAI1-associated protein 2-like 1
103411_at	Gna11	"guanine nucleotide binding protein, alpha 11"
103412_at	3732412D22Rik	RIKEN cDNA 3732412D22 gene
103413_at	Pwp1	PWP1 homolog (S. cerevisiae)
103414_at	Skiv2l	superkiller viralicidic activity 2-like (S. cerevisiae )
103415_at	Wrnip1	Werner helicase interacting protein 1
103416_at	Mapk6	mitogen-activated protein kinase 6
103418_at	Rfc4	replication factor C (activator 1) 4
103420_at	Emd	emerin
103421_at	Frrs1 /// LOC635993	ferric-chelate reductase 1 /// similar to stromal cell derived factor receptor 2
103422_at	Cd1d1	CD1d1 antigen
103423_at	Cyb561	cytochrome b-561
103424_at	6330442E10Rik	RIKEN cDNA 6330442E10 gene
103427_at	Fbxl3	F-box and leucine-rich repeat protein 3
103428_at	Pold3	"polymerase (DNA-directed), delta 3, accessory subunit"
103429_i_at	Adi1	acireductone dioxygenase 1
103430_at	Dbn1	drebrin 1
103432_at	Isg20	interferon-stimulated protein
103433_at	Pscd3	"pleckstrin homology, Sec7 and coiled-coil domains 3"
103434_at	Pscd3	"pleckstrin homology, Sec7 and coiled-coil domains 3"
103435_at	Map4k4	mitogen-activated protein kinase kinase kinase kinase 4
103436_at	Gtpbp1	GTP binding protein 1
103437_at	Zfp57	zinc finger protein 57
103438_at	Dio2	"deiodinase, iodothyronine, type II"
103439_at	Psd	pleckstrin and Sec7 domain containing
103440_at	Gabpa	"GA repeat binding protein, alpha"
103441_at	Csnk2a1	"casein kinase 2, alpha 1 polypeptide"
103442_at	Dhrs7b	dehydrogenase/reductase (SDR family) member 7B
103443_at	Aim1	absent in melanoma 1
103444_at	Dna2l	DNA2 DNA replication helicase 2-like (yeast)
103445_at	Hoxb6	homeo box B6
103446_at	Ifih1	interferon induced with helicase C domain 1
103447_at	D15Wsu169e	"DNA segment, Chr 15, Wayne State University 169, expressed"
103448_at	S100a8	S100 calcium binding protein A8 (calgranulin A)
103449_at	Lsm14b	"LSM14 homolog B (SCD6, S. cerevisiae)"
103450_at	Bcas3	breast carcinoma amplified sequence 3
103451_at	Ptk2b	PTK2 protein tyrosine kinase 2 beta
103452_at	Prodh2	proline dehydrogenase (oxidase) 2
103454_at	Spic	Spi-C transcription factor (Spi-1/PU.1 related)
103455_at	Exoc8	exocyst complex component 8
103456_at	Ece1	endothelin converting enzyme 1
103457_at	Rev3l	"REV3-like, catalytic subunit of DNA polymerase zeta RAD54 like (S. cerevisiae)"
103458_at	Hc	hemolytic complement
103459_at	Slc39a6	"solute carrier family 39 (metal ion transporter), member 6"
103460_at	Ddit4	DNA-damage-inducible transcript 4
103462_at	Dock2	dedicator of cyto-kinesis 2
103463_at	Pramel4	preferentially expressed antigen in melanoma like 4
103465_f_at	Saa2	serum amyloid A 2
103466_at	Cyhr1	cysteine and histidine rich 1
103467_g_at	Cyhr1	cysteine and histidine rich 1
103468_at	Mns1	meiosis-specific nuclear structural protein 1
103469_at	Elovl3	"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3"
103470_at	Pramel6	preferentially expressed antigen in melanoma like 6
103471_at	Tbc1d15	"TBC1 domain family, member 15"
103472_at	BC053393	cDNA sequence BC053393
103473_at	Pak4	p21 (CDKN1A)-activated kinase 4
103475_s_at	Ate1	arginine-tRNA-protein transferase 1
103476_at	D5Ertd40e	"DNA segment, Chr 5, ERATO Doi 40, expressed"
103477_at	Cdx1	caudal type homeo box 1
103478_at	Zfp787	zinc finger protein 787
103479_at	Samd10	sterile alpha motif domain containing 10
103480_at	Cd4	CD4 antigen
103481_at	EG630579	"predicted gene, EG630579"
103483_at	Ercc5	"excision repair cross-complementing rodent repair deficiency, complementation group 5"
103484_at	Popdc3	popeye domain containing 3
103485_at	BC030046	cDNA sequence BC030046
103486_at	Il1b	interleukin 1 beta
103487_at	Ly6h	"lymphocyte antigen 6 complex, locus H"
103488_at	Selplg	"selectin, platelet (p-selectin) ligand"
103489_at	Ubxd5	UBX domain containing 5
103490_at	Wnt11	wingless-related MMTV integration site 11
103491_at	Nav1	neuron navigator 1
103492_at	Cpxm1	carboxypeptidase X 1 (M14 family)
103493_at	Nmb	neuromedin B
103494_at	Tspan8	tetraspanin 8
103495_at	Etnk1	Ethanolamine kinase 1
103496_at	Arid3a	AT rich interactive domain 3A (Bright like)
103497_at	BC025546	cDNA sequence BC025546
103498_at	Gcgr	glucagon receptor
103499_at	Vwf	Von Willebrand factor homolog
103500_at	Acvr2a	Activin receptor IIA
103501_at	Pura	purine rich element binding protein A
103502_at	Nrk	Nik related kinase
103503_at	Plcg2	"phospholipase C, gamma 2"
103504_at	Ssbp2	single-stranded DNA binding protein 2
103506_f_at	Dsc2	desmocollin 2
103507_at	Emr1	"EGF-like module containing, mucin-like, hormone receptor-like sequence 1"
103508_at	Pcgf5	polycomb group ring finger 5
103509_at	Tnfrsf9	"tumor necrosis factor receptor superfamily, member 9"
103510_at	Slc6a12	"solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12"
103511_at	Arhgap8	Rho GTPase activating protein 8
103512_at	Bzrpl1	"benzodiazapine receptor, peripheral-like 1"
103513_at	Wnt5b	wingless-related MMTV integration site 5B
103514_at	Tnfrsf21	"tumor necrosis factor receptor superfamily, member 21"
103515_at	Cant1	calcium activated nucleotidase 1
103516_at	Celsr1	cadherin EGF LAG seven-pass G-type receptor 1
103517_at	A530040E14Rik	RIKEN cDNA A530040E14 gene
103518_at	Ctla2b	cytotoxic T lymphocyte-associated protein 2 beta
103519_at	Ces1	carboxylesterase 1
103520_at	Vegfa	vascular endothelial growth factor A
103521_r_at	Mpp7	"membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)"
103522_at	Sgcd	"sarcoglycan, delta (dystrophin-associated glycoprotein)"
103523_at	Leng8	leukocyte receptor cluster (LRC) member 8
103524_at	Cdan1	"congenital dyserythropoietic anemia, type I (human)"
103525_at	Hnrpll	heterogeneous nuclear ribonucleoprotein L-like
103526_at	LOC638935 /// Padi2	"peptidyl arginine deiminase, type II /// similar to peptidyl arginine deiminase, type II"
103527_at	Slc35e4	"solute carrier family 35, member E4"
103529_at	Tnfaip8l1	"tumor necrosis factor, alpha-induced protein 8-like 1"
103530_at	Fancg	"Fanconi anemia, complementation group G"
103531_f_at	Ero1lb	ERO1-like beta (S. cerevisiae)
103532_at	Eomes	eomesodermin homolog (Xenopus laevis)
103533_at	Hbb-bh1	"hemoglobin Z, beta-like embryonic chain"
103534_at	Hbb-b2	"hemoglobin, beta adult minor chain"
103535_at	Hbb-y	"hemoglobin Y, beta-like embryonic chain"
103536_at	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2
103537_at	Eif2ak3	eukaryotic translation initiation factor 2 alpha kinase 3
103538_at	Tbx3	T-box 3
103539_at	Tec	"cytoplasmic tyrosine kinase, Dscr28C related (Drosophila)"
103540_at		
103541_at	Tcte2	t-complex-associated testis expressed 2
103542_at	Tnks1bp1	tankyrase 1 binding protein 1
103543_at	Sez6l	seizure related 6 homolog like
103544_at	Pus1	pseudouridine synthase 1
103545_at	2610019E17Rik	RIKEN cDNA 2610019E17 gene
103546_at	Fosl2 /// LOC634417	fos-like antigen 2 /// similar to fos-like antigen 2
103547_at	Slc41a1	"solute carrier family 41, member 1"
103548_at	Tac2	tachykinin 2
103549_at	Nes	nestin
103550_at	Ednrb	endothelin receptor type B
103551_at	Plekha5	"pleckstrin homology domain containing, family A member 5"
103552_at		
103553_at	Mcm10	minichromosome maintenance deficient 10 (S. cerevisiae)
103554_at	Adam19	a disintegrin and metallopeptidase domain 19 (meltrin beta)
103555_at	Chmp4b	chromatin modifying protein 4B
103556_at	Angptl2	angiopoietin-like 2
103557_at	Vps37c	vacuolar protein sorting 37C (yeast)
103558_at	Krt31	keratin 31
103559_at	Prkaca	"protein kinase, cAMP dependent, catalytic, alpha"
103560_at	Lysmd2	"LysM, putative peptidoglycan-binding, domain containing 2"
103562_f_at	EG666026 /// EG668280 /// EG668462 /// LOC433762 /// LOC669505 /// LOC672861	"hypothetical gene LOC433762 /// predicted gene, EG666026 /// predicted gene, EG668280 /// predicted gene, EG668462 /// hypothetical protein LOC669505 /// hypothetical protein LOC672861"
103563_at	Ibrdc3	IBR domain containing 3
103564_at	Uvrag	UV radiation resistance associated gene
103565_at	1810009A15Rik	RIKEN cDNA 1810009A15 gene
103567_at	Fryl	furry homolog-like (Drosophila)
103568_at	Srpx	sushi-repeat-containing protein
103569_at	Sh3glb1	SH3-domain GRB2-like B1 (endophilin)
103570_at	C1qtnf3	C1q and tumor necrosis factor related protein 3
103571_at	Lst1	leukocyte specific transcript 1
103573_at	Pip5k1b	"phosphatidylinositol-4-phosphate 5-kinase, type 1 beta"
103574_at	Ablim1	actin-binding LIM protein 1
103575_at		
103577_at	Pfkfb3	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
103578_at	EG545878 /// Tom1	"target of myb1 homolog (chicken) /// predicted gene, EG545878"
103579_at	Rac2	RAS-related C3 botulinum substrate 2
103580_at	BC013529	cDNA sequence BC013529
103581_at	Acot1	acyl-CoA thioesterase 1
103582_r_at	Ube2w	ubiquitin-conjugating enzyme E2W (putative)
103584_at	5830471E12Rik	RIKEN cDNA 5830471E12 gene
103585_at	Spast	spastin
103588_at	Adam15	a disintegrin and metallopeptidase domain 15 (metargidin)
103589_at	Krt16	keratin 16
103590_at	Ggcx	gamma-glutamyl carboxylase
103591_at	Taf6	"TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor"
103592_at	Map2k5	mitogen activated protein kinase kinase 5
103593_at	Nppa	natriuretic peptide precursor type A
103594_at	Fbxl15	F-box and leucine-rich repeat protein 15
103595_at	Zfp524	zinc finger protein 524
103596_at	Dgka	"diacylglycerol kinase, alpha"
103597_at	Dct	dopachrome tautomerase
103598_at	Dhx9	DEAH (Asp-Glu-Ala-His) box polypeptide 9
103599_at	Mdm1	transformed mouse 3T3 cell double minute 1
103600_at	Epb4.9	erythrocyte protein band 4.9
103601_at	Ptrh1	peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae)
103602_at	Dao1	D-amino acid oxidase 1
103603_at	Eftud1	elongation factor Tu GTP binding domain containing 1
103604_at	Rgs19	regulator of G-protein signaling 19
103605_g_at	Rgs19	regulator of G-protein signaling 19
103606_r_at	Rgs19	regulator of G-protein signaling 19
103607_at	Gpx7	glutathione peroxidase 7
103608_at	Fars2	phenylalanine-tRNA synthetase 2 (mitochondrial)
103609_at	Cryga	"crystallin, gamma A"
103610_at	Pde4b	"phosphodiesterase 4B, cAMP specific"
103611_at	Cd47	"CD47 antigen (Rh-related antigen, integrin-associated signal transducer)"
103612_at	Aqp2	aquaporin 2
103613_at	Aldoa-ps1	"aldolase 1, A isoform, pseudogene 1"
103614_at	Nfkb2	"nuclear factor of kappa light polypeptide gene enhancer in B-cells 2, p49/p100"
103615_at	AI447904 /// BC094916	expressed sequence AI447904 /// cDNA sequence BC094916
103616_at	Col11a2	"procollagen, type XI, alpha 2"
103617_at	Cd55	CD55 antigen
103618_at	Ckmt2	"creatine kinase, mitochondrial 2"
103619_at	Cyb5b	cytochrome b5 type B
103620_s_at	Smn1	survival motor neuron 1
103622_at	Mlycd	malonyl-CoA decarboxylase
103623_at	Fbn2	fibrillin 2
103624_at	Urm1	ubiquitin related modifier 1 homolog (S. cerevisiae)
103625_at	Afg3l1	AFG3(ATPase family gene 3)-like 1 (yeast)
103628_at		
103629_g_at	Lef1	lymphoid enhancer binding factor 1
103630_at	Lars	leucyl-tRNA synthetase
103631_at	Zfp688	zinc finger protein 688
103632_at	Hmgb4	high-mobility group box 4
103634_at	Isgf3g	interferon dependent positive acting transcription factor 3 gamma
103635_at	Tgds	"TDP-glucose 4,6-dehydratase"
103636_at	Pnkd	paroxysmal nonkinesiogenic dyskinesia
103637_at	Naga	"N-acetyl galactosaminidase, alpha"
103638_at	Fnbp1	formin binding protein 1
103639_at	Ifit2	interferon-induced protein with tetratricopeptide repeats 2
103641_at	BC030183	cDNA sequence BC030183
103642_at	RP23-336J1.4	Ras-GTPase-activating protein SH3-domain binding protein
103643_at	Zdhhc16	"zinc finger, DHHC domain containing 16"
103644_at	Dpep1	dipeptidase 1 (renal)
103645_at	Dnajb8	"DnaJ (Hsp40) homolog, subfamily B, member 8"
103646_at	Crat	carnitine acetyltransferase
103647_at	Glb1	"galactosidase, beta 1"
103648_at	Tacstd2	tumor-associated calcium signal transducer 2
103649_at	Hao3	hydroxyacid oxidase (glycolate oxidase) 3
103650_at	Vps53	vacuolar protein sorting 53 (yeast)
103651_r_at	Gtf2f2	"general transcription factor IIF, polypeptide 2"
103653_at	Mras	muscle and microspikes RAS
103654_at	Nsbp1	nucleosome binding protein 1
103655_at	Hdac3	histone deacetylase 3
103656_at	Lancl1	LanC (bacterial lantibiotic synthetase component C)-like 1
103657_i_at	Mtf2	metal response element binding transcription factor 2
103658_r_at	Mtf2	metal response element binding transcription factor 2
103660_at	Pex11a	peroxisomal biogenesis factor 11a
103662_at	Ncf4	neutrophil cytosolic factor 4
103663_at	Pomgnt1	"protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase"
103664_r_at	2810452K22Rik	RIKEN cDNA 2810452K22 gene
103665_at	Elovl6	"ELOVL family member 6, elongation of long chain fatty acids (yeast)"
103666_at	Hoxb5	homeo box B5
103667_at	Atp13a3	ATPase type 13A3
103668_at	Supt6h	suppressor of Ty 6 homolog (S. cerevisiae)
103669_at	E330034G19Rik	RIKEN cDNA E330034G19 gene
103670_at	Cyp2a12	"cytochrome P450, family 2, subfamily a, polypeptide 12"
103671_at	Htatip2	"HIV-1 tat interactive protein 2, homolog (human)"
103672_at	Phf23	PHD finger protein 23
103673_at	C2	complement component 2 (within H-2S)
103674_f_at	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"
103675_at	Robo1	roundabout homolog 1 (Drosophila)
103676_at	C1qtnf1	C1q and tumor necrosis factor related protein 1
103678_at	Sbno1	"sno, strawberry notch homolog 1 (Drosophila)"
103679_at	Cdc23	"CDC23 (cell division cycle 23, yeast, homolog)"
103680_at	Srpr	signal recognition particle receptor ('docking protein')
103681_at	Atp6v0a2	"ATPase, H+ transporting, lysosomal V0 subunit A2"
103682_at	C80913	expressed sequence C80913
103683_at	Dhodh	dihydroorotate dehydrogenase
103684_at	Tekt2	tektin 2
103685_at		Transcribed locus
103686_at	Mcoln2	mucolipin 2
103688_at	Ankrd43	ankyrin repeat domain 43
103689_at	Abcc3	"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"
103690_at	Lat2	"linker for activation of T cells family, member 2"
103691_at	Trim13	tripartite motif protein 13
103692_at	Efnb3	ephrin B3
103693_at	Tirap	toll-interleukin 1 receptor (TIR) domain-containing adaptor protein
103694_at	Nup188	nucleoporin 188
103695_f_at	C330007P06Rik	RIKEN cDNA C330007P06 gene
103696_r_at	C330007P06Rik	RIKEN cDNA C330007P06 gene
103697_at	AW061234	expressed sequence AW061234
103699_i_at	Frat2	frequently rearranged in advanced T-cell lymphomas 2
103700_r_at	Frat2	Frequently rearranged in advanced T-cell lymphomas 2
103701_at	Ccdc52	coiled-coil domain containing 52
103702_i_at	LOC623195	similar to integral membrane transport protein UST1R
103703_f_at	C730048C13Rik /// EG434674 /// LOC623195 /// LOC674021	"RIKEN cDNA C730048C13 gene /// predicted gene, EG434674 /// similar to integral membrane transport protein UST1R"
103704_at	Ddhd2	DDHD domain containing 2
103706_at	LOC677143 /// Sfxn2	sideroflexin 2 /// similar to Sideroflexin-2
103707_at	C3ar1	complement component 3a receptor 1
103708_at	Eif1a	eukaryotic translation initiation factor 1A
103709_at	Col1a1	"procollagen, type I, alpha 1"
103710_at	3110048L19Rik	RIKEN cDNA 3110048L19 gene
103711_at	Casp9	caspase 9
103712_at	R3hdm1	R3H domain 1 (binds single-stranded nucleic acids)
103713_at	Usp9x	"ubiquitin specific peptidase 9, X chromosome"
103714_at	Iyd	iodotyrosine deiodinase
103715_at	Scin	scinderin
103716_at	Cep350	centrosomal protein 350
103717_at	Wwp2	WW domain containing E3 ubiquitin protein ligase 2
103718_at	Pcgf2	polycomb group ring finger 2
103719_at	Msh5	mutS homolog 5 (E. coli)
103720_at	Rest	RE1-silencing transcription factor
103721_at	Npnt	Nephronectin
103723_at	Il13ra1	"interleukin 13 receptor, alpha 1"
103726_at	Yipf5	"Yip1 domain family, member 5"
103727_at	Hrb	HIV-1 Rev binding protein
103728_at		Transcribed locus
103729_at	Lama1	"laminin, alpha 1"
103730_at	Col22a1	"collagen, type XXII, alpha 1"
103731_at	Tsc1	tuberous sclerosis 1
103732_at	Pib5pa	"phosphatidylinositol (4,5) bisphosphate 5-phosphatase, A"
103733_at	2900006A08Rik	RIKEN cDNA 2900006A08 gene
103734_at	Ahi1	Abelson helper integration site
103735_at	Wnt6	wingless-related MMTV integration site 6
103736_at	Sash1	SAM and SH3 domain containing 1
103737_at	Gfpt2	glutamine fructose-6-phosphate transaminase 2
103738_at	BC037034	cDNA sequence BC037034
103739_at	Glce	glucuronyl C5-epimerase
103741_at	Hoxd10	homeo box D10
103742_at	Unc5c	unc-5 homolog C (C. elegans)
103743_at	3732412D22Rik	RIKEN cDNA 3732412D22 gene
103744_at	Sh3bgrl2	SH3 domain binding glutamic acid-rich protein like 2
103745_at	Snx13	sorting nexin 13
103746_at	Suz12	suppressor of zeste 12 homolog (Drosophila)
103748_at	4933407C03Rik	RIKEN cDNA 4933407C03 gene
103751_at	AA409316	expressed sequence AA409316
103752_r_at	Strn	"striatin, calmodulin binding protein"
103753_at	Zzz3	"zinc finger, ZZ domain containing 3"
